Company,Email,Tag,Region,Note
Groww,future@groww.in,Fintech,India,Fintech / Investments
PhonePe,shivani.sahraot@phonepe.com,Fintech,India,UPI / Payments
Paytm,hr@paytm.com,Fintech,India,Payments platform
Juspay,miskin.shravani@juspay.in,Fintech,India,Payment infra
Volt Money,careers@voltmoney.in,Fintech,India,Lending / Fintech
Bank Bazar,careers@bankbazaar.com,Fintech,India,Financial products
Fixerra,careers@fixerra.in,Fintech,India,Fintech startup
Flipkart,abhinavsingh.k@flipkart.com,E-commerce,India,E-commerce giant
Meesho,himanshubarak@gmail.com,E-commerce,India,Social commerce
Cars24,swapnil.mishra@cars24.com,E-commerce,India,Used car marketplace
Zepto,priyanka.deshmukh@zeptonow.com,E-commerce,India,Quick commerce
EatFit,rakshita@eatfit.in,E-commerce,India,FoodTech
Rentickle,hr@rentickle.com,E-commerce,India,Furniture rental
Humantic AI,talent@humantic.ai,AI/ML,India,Personality AI
Textrai,founders@textrai.com,AI/ML,India,AI startup
Zuraverse,hiring@zuraverse.xyz,AI/ML,India,Web3 / AI
Royal Brothers,hr@royalbrothers.com,AI/ML,India,Mobility + AI
Impressico Business Solutions,hr@impressicobusiness.com,AI/ML,India,GenAI / Data Engineering
DataZip,piyushsingariya@datazip.io,Data,India,Data engineering
Adbrew,hiring@adbrew.io,SaaS/Tech,India,Amazon PPC SaaS
Demand Farm,saakshi.haribhat@demandfarm.com,SaaS/Tech,India,Account planning SaaS
Enpass,sanjana.roy@enpass.io,SaaS/Tech,India,Password manager
SkyInnovate,career@skyinnovate.in,SaaS/Tech,India,Tech startup
Grizmolabs,ritika.pokhriyal@grizmolabs.com,SaaS/Tech,India,Tech startup
Maventic,jobs@maventic.com,SaaS/Tech,India,IT solutions
Physics Wallah,prakriti.goel@pw.live,SaaS/Tech,India,EdTech platform
Control F5,hr@controlf5.in,Other,India,IT staffing
Practo,tateam@practo.com,HealthTech,India,HealthTech
OYO,shubhi.verma@oyorooms.com,Other,India,Hospitality
Hotstar,chaitrashree.hegde.con@hotstar.com,Other,India,Streaming / Media
Metastart,talent@metastart.in,Other,India,Startup ecosystem
Astrotalk,hiring@astrotalk.com,Other,India,Astrology platform
Accenture,campus.recruitment@accenture.com,Other,India,Campus recruitment
Infosys,freshers@infosys.com,Other,India,IT services — freshers
HR Central,pujasnavin@hr-central.in,Other,India,HR consulting — Bangalore
Emergences AI,jack@emergences.ai,AI/ML,Global,AI/Systems Engineer — Remote
Babou,careers@babou.ai,AI/ML,Global,AI marketing automation — Remote
Starbridge AI,recruiting@starbridge.ai,AI/ML,Global,LangChain / RAG — NYC/Remote
Pango,steve@pango.ai,AI/ML,Global,Agentic OS for ecomm — LATAM Remote
Microsoft AI Platform,maiplatformjobs@microsoft.com,AI/ML,Global,AI Platform team — US
Peakflo (YC W22),careers@peakflo.co,AI/ML,Global,Agentic AI fintech — India/Remote
Eightfold AI,careers@eightfold.ai,AI/ML,Global,Talent AI — Bangalore
Estuary,careers@estuary.dev,Data,Global,Real-time data replication — US Remote
ChainSecurity,jobs@chainsecurity.com,SaaS/Tech,Global,Blockchain security — Zurich
Sequent Tech,team@sequentech.io,SaaS/Tech,Global,Secure voting infra — Remote Global
DearHiringManager,lars@dearhiringmanager.io,SaaS/Tech,Global,Job search SaaS — Remote
Roundly,nesra@roundlyhq.com,SaaS/Tech,Global,SaaS — Worldwide Remote
Comvex,peter.lever@comvex.ai,HealthTech,Global,Healthcare RCM — US/LATAM
Quin,quin@iamquin.ai,Fintech,Global,Agentic personal finance — US Remote
Focal VC,hiring@focal.vc,Other,Global,VC / Head of Tech & AI — US
PostUp,wilson@postup.pro,Other,Global,Founding Backend Engineer — Remote
Adobe,accommodations@adobe.com,AI/ML,Global,Research Scientist / AI/ML Internships
Quadric,hr@quadric.io,AI/ML,Global,AI Kernel & LLM hardware optimization
ICS India,hr@ics-india.co.in,SaaS/Tech,India,CSV / Server & Software Validation 
Hajana Technologies,careers@hajana.tech,AI/ML,India,LLM Integration & ML Freshers
Anblicks,hr@anblicks.com,Data,India,AI & Data Engineering Pipelines
Satyukt Analytics,hr@satyukt.com,AI/ML,India,Agritech SaaS / Remote Sensing Interns
Two99,hiring@two99.org,AI/ML,India,AI & SDE Intern / Prompt Engineering & Vectors
Valeno Consulting,careers@valeno.in,SaaS/Tech,India,SDE Intern / Remote Application Dev
Silicasecure,talent@silicasecure.com,SaaS/Tech,India,Frontend SDE Intern / Consent Management
Zinivd,hr@zinivd.com,SaaS/Tech,India,Python & React SDE Intern / Backend APIs
OrbitXII Technologies,careers@orbitxii.com,AI/ML,India,DevOps & Robotics / EdBot AI Systems
Levroxen,hiring@levroxen.com,SaaS/Tech,India,SDE Intern / SaaS Architecture
LeapMile Logistics (QikPod),careers@qikpod.com,SaaS/Tech,India,Frontend SDE Intern / Low-Code Frameworks
Scaling Up Work,careers@scalingupwork.com,SaaS/Tech,India,Full Stack Software Developer Intern
Truvant Consulting,careers@truvant.in,SaaS/Tech,India,SDE Intern / Azure & Data Engineering
Optimspace,hr@optimspace.in,SaaS/Tech,India,Web Developer / Software Intern
Razorpay,careers@razorpay.com,Fintech,India,Payments & Neobanking
CRED,careers@cred.club,Fintech,India,Credit Card Payments
Pine Labs,careers@pinelabs.com,Fintech,India,PoS & Payments
BharatPe,careers@bharatpe.com,Fintech,India,Merchant Payments
Upstox,careers@upstox.com,Fintech,India,Stock Broking
Zerodha,careers@zerodha.com,Fintech,India,Stock Broking
Zeta,careers@zeta.tech,Fintech,India,Banking Tech
Clear,careers@clear.in,Fintech,India,Tax & Compliance
Lendingkart,careers@lendingkart.com,Fintech,India,SME Lending
InCred,careers@incred.com,Fintech,India,Consumer & SME Lending
Acko,careers@acko.com,Fintech,India,Insurtech
Digit Insurance,careers@godigit.com,Fintech,India,Insurtech
PolicyBazaar,careers@policybazaar.com,Fintech,India,Insurance Aggregator
MobiKwik,careers@mobikwik.com,Fintech,India,Wallets & BNPL
Freecharge,careers@freecharge.com,Fintech,India,Payments
Instamojo,careers@instamojo.com,Fintech,India,Payment Gateway
BillDesk,careers@billdesk.com,Fintech,India,Payment Gateway
CCAvenue,careers@ccavenue.com,Fintech,India,Payment Gateway
Simpl,careers@getsimpl.com,Fintech,India,BNPL
LazyPay,careers@lazypay.in,Fintech,India,BNPL
ZestMoney,careers@zestmoney.in,Fintech,India,BNPL
MoneyTap,careers@moneytap.com,Fintech,India,Credit Line
Jupiter,careers@jupiter.money,Fintech,India,Neobanking
